X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
TIMP-1 (pg/ml),Follistatin (pg/ml),0.42245,0.42244798,0.18248,0.38109,4.0,0.0014198796
IL-8 (pg/ml),CA19-9 (U/ml),0.42117,0.3705566,0.08225003,0.39419,4.0,0.22497426
G-CSF (pg/ml),CA-125 (U/ml),0.4193,0.41555682,0.08647999,0.38755,4.0,0.061181374
IL-6 (pg/ml),CA-125 (U/ml),0.41904,0.40735742,0.0774,0.41904,3.807355,-0.108085886
TGFa (pg/ml),PAR (pg/ml),0.4185,0.41497943,0.14559,0.3922,4.0,0.05933434
PAR (pg/ml),CYFRA 21-1 (pg/ml),0.40636,0.34267038,0.16811,0.36322,4.0,0.25236803
sPECAM-1 (pg/ml),PAR (pg/ml),0.40341,0.29804668,0.1652,0.35433,4.0,0.32459715
TIMP-1 (pg/ml),GDF15 (ng/ml),0.40317,0.3463227,0.048669994,0.3722,4.0,0.2384267
TIMP-2 (pg/ml),CYFRA 21-1 (pg/ml),0.40203,0.3758377,0.019720018,0.37112,4.0,0.16184029
sHER2/sEGFR2/sErbB2 (pg/ml),sFas (pg/ml),0.39313,0.372627,0.17302,0.35659,4.0,-0.1431887
TIMP-2 (pg/ml),IL-8 (pg/ml),0.39292,0.101854324,0.09586999,0.3522,4.0,0.539505
Thrombospondin-2 (pg/ml),CA-125 (U/ml),0.39198,0.38901156,0.10163,0.33892,4.0,0.054483227
sEGFR (pg/ml),AXL (pg/ml),0.3913,0.2582855,0.09283,0.35436,4.0,0.36471152
G-CSF (pg/ml),FGF2 (pg/ml),0.39076,0.35839292,0.13567,0.3613,4.0,0.17990854
Thrombospondin-2 (pg/ml),sPECAM-1 (pg/ml),0.38933,0.2580529,0.10855,0.35138,4.0,0.36232185
G-CSF (pg/ml),CD44 (ng/ml),0.3881,0.38805845,0.111190006,0.36563,4.0,-0.0064461925
sHER2/sEGFR2/sErbB2 (pg/ml),sEGFR (pg/ml),0.38794,0.050742686,0.048130006,0.35752,4.0,0.5806869
IL-8 (pg/ml),CD44 (ng/ml),0.38788,0.38099283,0.10934001,0.36471,4.0,-0.08298899
HGF (pg/ml),CA19-9 (U/ml),0.38716,0.38715714,0.14415,0.35324,4.0,0.0016878437
TIMP-2 (pg/ml),HGF (pg/ml),0.38704,0.36207694,0.123040006,0.35756,4.0,-0.15799701
TGFa (pg/ml),OPG (ng/ml),0.38379,0.38286752,0.07698001,0.36634,4.0,-0.030372417
IL-8 (pg/ml),HGF (pg/ml),0.38111,0.367603,0.08421001,0.36106,4.0,0.11621967
OPG (ng/ml),HE4 (pg/ml),0.38038,0.3664739,0.1498,0.36177,4.0,-0.11792403
sFas (pg/ml),NSE (ng/ml),0.38022,0.3433546,0.20979999,0.33834,4.0,0.19200361
Thrombospondin-2 (pg/ml),OPG (ng/ml),0.3796,0.34519023,0.23552999,0.35416,4.0,0.18549871
PAR (pg/ml),DKK1 (ng/ml),0.37868,0.010081351,0.044770002,0.34831,4.0,0.60712326
TIMP-1 (pg/ml),PAR (pg/ml),0.37863,0.10892534,0.037259996,0.35319,4.0,0.519331
G-CSF (pg/ml),CA19-9 (U/ml),0.37697,0.35092568,0.07211998,0.35458,4.0,-0.16138248
Follistatin (pg/ml),Angiopoietin-2 (pg/ml),0.3755,0.29425302,0.12241998,0.34378,4.0,0.28503856
TIMP-1 (pg/ml),HE4 (pg/ml),0.37344,0.37033504,0.07159001,0.34322,4.0,0.055722076
sFas (pg/ml),Follistatin (pg/ml),0.37343,0.2772954,0.11847001,0.33752,4.0,0.31005582
Thrombospondin-2 (pg/ml),CD44 (ng/ml),0.37229,0.363345,0.06965998,0.34714,4.0,0.09457801
TIMP-2 (pg/ml),IL-6 (pg/ml),0.37216,0.29887593,0.12854,0.37216,3.807355,-0.27071032
SHBG (nM),FGF2 (pg/ml),0.37147,0.37112722,0.15168001,0.33802,4.0,-0.018514805
OPG (ng/ml),IL-6 (pg/ml),0.37008,0.29835,0.13096,0.34702,3.9068906,-0.26782453
sPECAM-1 (pg/ml),SHBG (nM),0.36602,0.32136118,0.15876,0.33935,4.0,0.2113263
sPECAM-1 (pg/ml),IL-8 (pg/ml),0.36283,0.3538265,0.16242,0.33709,4.0,-0.094886824
HGF (pg/ml),G-CSF (pg/ml),0.36192,0.3196864,0.085260004,0.36192,3.807355,0.20550813
TGFa (pg/ml),Midkine (pg/ml),0.36185,0.3616262,0.09557,0.32462,4.0,0.014959654
Thrombospondin-2 (pg/ml),PAR (pg/ml),0.36096,0.3524226,0.101919994,0.35026,4.0,0.09239805
IL-8 (pg/ml),FGF2 (pg/ml),0.35958,0.3546686,0.13934001,0.3338,4.0,-0.07008158
sPECAM-1 (pg/ml),Galectin-3 (ng/ml),0.35922,0.28986138,0.06353,0.32612,4.0,0.26336023
PAR (pg/ml),HE4 (pg/ml),0.35763,0.34662765,0.08853999,0.32964,4.0,0.10489221
Mesothelin (ng/ml),CD44 (ng/ml),0.35617,0.23392847,0.06259999,0.31552,4.0,0.34963056
Kallikrein-6 (pg/ml),Galectin-3 (ng/ml),0.35613,0.31550065,0.113460004,0.33062,4.0,0.20156728
sHER2/sEGFR2/sErbB2 (pg/ml),AXL (pg/ml),0.35586,0.30423442,0.15569,0.31923,4.0,0.22721261
Midkine (pg/ml),Leptin (pg/ml),0.35251,0.35087967,0.11157,0.32731,4.0,0.040377412
sHER2/sEGFR2/sErbB2 (pg/ml),SHBG (nM),0.35184,0.2751482,0.09963,0.30088,4.0,0.27693278
OPG (ng/ml),Midkine (pg/ml),0.35072,0.3431259,0.15328999,0.32172,4.0,-0.08714396
CA19-9 (U/ml),AFP (pg/ml),0.34974,0.3490354,0.11154999,0.31204,4.0,0.026543936
IL-6 (pg/ml),CD44 (ng/ml),0.34833,0.098829284,0.045599997,0.32411,4.0,0.49950045
Midkine (pg/ml),HE4 (pg/ml),0.34815,0.34446883,0.13762002,0.305,4.0,0.06067281
Prolactin (pg/ml),Myeloperoxidase (ng/ml),0.34629,0.3427203,0.070769995,0.30781,4.0,0.059746925
Midkine (pg/ml),CYFRA 21-1 (pg/ml),0.34363,0.3420624,0.16574998,0.3077,4.0,-0.039592754
sPECAM-1 (pg/ml),IL-6 (pg/ml),0.34347,0.31304193,0.10023001,0.33525,4.0,-0.17443651
OPG (ng/ml),IL-8 (pg/ml),0.34237,0.31709453,0.053499997,0.30712,4.0,-0.15898263
PAR (pg/ml),Kallikrein-6 (pg/ml),0.34211,0.32887387,0.17558001,0.30187,4.0,0.11504847
TIMP-2 (pg/ml),GDF15 (ng/ml),0.34157,0.2151018,0.14592999,0.30286,4.0,0.35562366
sFas (pg/ml),Kallikrein-6 (pg/ml),0.34081,0.27924842,0.13217,0.31439,4.0,0.24811608
TIMP-1 (pg/ml),Angiopoietin-2 (pg/ml),0.34074,0.24126476,0.09332,0.30581,4.0,0.31539696
TGFa (pg/ml),Follistatin (pg/ml),0.33982,0.3130413,0.11248,0.30667,4.0,0.163642
CD44 (ng/ml),AFP (pg/ml),0.33965,0.33964565,0.0816,0.30377,4.0,0.0020831493
Thrombospondin-2 (pg/ml),AFP (pg/ml),0.33828,0.33196354,0.07517001,0.31809,4.0,-0.07947605
IL-6 (pg/ml),Endoglin (pg/ml),0.33621,0.33190307,0.16664001,0.29573,4.0,-0.06562724
sPECAM-1 (pg/ml),Endoglin (pg/ml),0.33564,0.21778089,0.051790014,0.29449,4.0,0.34330618
Follistatin (pg/ml),CYFRA 21-1 (pg/ml),0.33501,0.2862937,0.096159995,0.30947,4.0,0.2207177
TIMP-1 (pg/ml),IL-6 (pg/ml),0.33416,0.33005053,0.055940002,0.29684,4.0,-0.06410522
Follistatin (pg/ml),AFP (pg/ml),0.33212,0.3162295,0.048890002,0.30463,4.0,0.12605757
TIMP-1 (pg/ml),HGF (pg/ml),0.33095,0.32084626,0.08471,0.31325,4.0,0.10051727
PAR (pg/ml),HGF (pg/ml),0.33005,0.27280402,0.09041999,0.29854,4.0,0.23926127
sPECAM-1 (pg/ml),G-CSF (pg/ml),0.32953,0.23239994,0.12688,0.30519,4.0,0.31165695
Mesothelin (ng/ml),AFP (pg/ml),0.32908,0.3258507,0.16772999,0.2761,4.0,0.056826882
Galectin-3 (ng/ml),Follistatin (pg/ml),0.32897,0.27410126,0.041419983,0.29907,4.0,0.23424074
Thrombospondin-2 (pg/ml),CA 15-3 (U/ml),0.32867,0.326365,0.16673,0.29602,4.0,-0.048010416
Midkine (pg/ml),G-CSF (pg/ml),0.32692,0.32648832,0.11803,0.295,4.0,-0.020777022
TIMP-1 (pg/ml),sFas (pg/ml),0.32634,0.2639358,0.039900005,0.29863,4.0,-0.24980831
sEGFR (pg/ml),Galectin-3 (ng/ml),0.32555,0.3228361,0.13329,0.27753,4.0,0.052094962
CEA (pg/ml),CA19-9 (U/ml),0.32553,0.2868268,0.15785,0.29309,4.0,0.19673131
sHER2/sEGFR2/sErbB2 (pg/ml),Kallikrein-6 (pg/ml),0.32483,0.32003567,0.0511,0.28798,4.0,0.06924115
TIMP-2 (pg/ml),CEA (pg/ml),0.32369,0.27920344,0.095819995,0.29116,4.0,0.21091838
IL-6 (pg/ml),Follistatin (pg/ml),0.32356,0.24933454,0.041799992,0.29962,4.0,-0.2724435
PAR (pg/ml),Angiopoietin-2 (pg/ml),0.32344,0.16865186,0.047969997,0.30234,4.0,0.39343122
HE4 (pg/ml),CD44 (ng/ml),0.32277,0.22536072,0.053380013,0.30863,4.0,0.31210458
sPECAM-1 (pg/ml),NSE (ng/ml),0.32243,0.29355434,0.060940027,0.28306,4.0,0.16992846
sPECAM-1 (pg/ml),sFas (pg/ml),0.32224,0.25908363,0.02850999,0.30007,4.0,0.25130928
Midkine (pg/ml),CD44 (ng/ml),0.32116,0.2820515,0.03376001,0.28418,4.0,0.19775863
Thrombospondin-2 (pg/ml),HGF (pg/ml),0.32093,0.31422296,0.09774001,0.2871,4.0,0.081896506
Prolactin (pg/ml),CA 15-3 (U/ml),0.3206,0.2685112,0.036640003,0.27723,4.0,0.22822972
Follistatin (pg/ml),CD44 (ng/ml),0.32048,0.28026325,0.070530005,0.29797,4.0,-0.20054117
sPECAM-1 (pg/ml),HE4 (pg/ml),0.31999,0.28263354,0.12748,0.28879,4.0,0.19327824
Mesothelin (ng/ml),DKK1 (ng/ml),0.31993,0.26936418,0.13285999,0.2851,4.0,0.22486842
sFas (pg/ml),PAR (pg/ml),0.31917,0.31916642,0.054089993,0.28787,4.0,-0.0018883675
Prolactin (pg/ml),Endoglin (pg/ml),0.31854,0.23719391,0.02696,0.28719,4.0,-0.28521237
Leptin (pg/ml),Galectin-3 (ng/ml),0.31846,0.2406396,0.058510005,0.29315,4.0,0.27896306
OPG (ng/ml),CYFRA 21-1 (pg/ml),0.31845,0.3063984,0.11214,0.29476,4.0,-0.10977982
Myeloperoxidase (ng/ml),Endoglin (pg/ml),0.31768,0.31450593,0.043780006,0.28657,4.0,-0.05633876
CD44 (ng/ml),CA 15-3 (U/ml),0.31683,0.31166932,0.030450001,0.28022,4.0,0.071837954
SHBG (nM),Myeloperoxidase (ng/ml),0.3166,0.30728266,0.08815999,0.28011,4.0,-0.096526414
SHBG (nM),Kallikrein-6 (pg/ml),0.31614,0.28633517,0.11487,0.29202,4.0,-0.17264079
HE4 (pg/ml),Follistatin (pg/ml),0.31562,0.31525895,0.09636,0.28895,4.0,0.019001078
FGF2 (pg/ml),AXL (pg/ml),0.31552,0.29528525,0.093569994,0.26582,4.0,-0.14224885
OPG (ng/ml),G-CSF (pg/ml),0.31529,0.28405225,0.12034,0.28473,4.0,0.17674206
Mesothelin (ng/ml),CA19-9 (U/ml),0.31514,0.30700272,0.20918001,0.2866,4.0,0.09020691
OPG (ng/ml),Follistatin (pg/ml),0.31446,0.31015205,0.14504,0.26999,4.0,0.06563497
sPECAM-1 (pg/ml),Follistatin (pg/ml),0.31432,0.27345484,0.04067999,0.27372,4.0,0.20215128
TIMP-1 (pg/ml),FGF2 (pg/ml),0.31402,0.2504573,0.055360004,0.28561,4.0,-0.2521165
sFas (pg/ml),CEA (pg/ml),0.31392,0.3131972,0.09834999,0.28119,4.0,-0.026884971
TIMP-1 (pg/ml),Thrombospondin-2 (pg/ml),0.31369,0.2938993,0.037809998,0.29084,4.0,0.14067951
TIMP-2 (pg/ml),FGF2 (pg/ml),0.31354,0.26028886,0.13786002,0.27169,4.0,-0.23076212
sHER2/sEGFR2/sErbB2 (pg/ml),OPG (ng/ml),0.31347,0.29863998,0.09087001,0.28304,4.0,0.12177855
sPECAM-1 (pg/ml),AXL (pg/ml),0.31333,0.20159867,0.06747,0.28413,4.0,0.33426234
TGFa (pg/ml),CD44 (ng/ml),0.31309,0.31142816,0.106570005,0.28429,4.0,0.040765624
TIMP-1 (pg/ml),CA 15-3 (U/ml),0.31222,0.2916162,0.044840008,0.27564,4.0,0.14354026
TIMP-2 (pg/ml),CA19-9 (U/ml),0.31183,0.28228384,0.041940004,0.28603,4.0,0.17189
NSE (ng/ml),CEA (pg/ml),0.31174,0.30365986,0.09685001,0.27118,4.0,-0.089889616
sEGFR (pg/ml),DKK1 (ng/ml),0.31125,0.30597115,0.0828,0.28181,4.0,0.07265572
sPECAM-1 (pg/ml),OPG (ng/ml),0.3111,0.24357262,0.040479988,0.29742,4.0,0.2598603
Mesothelin (ng/ml),Angiopoietin-2 (pg/ml),0.31005,0.22687206,0.07866,0.28547,4.0,0.2884059
Mesothelin (ng/ml),Endoglin (pg/ml),0.3099,0.2737296,0.070629984,0.27711,4.0,0.19018516
Prolactin (pg/ml),Leptin (pg/ml),0.30927,0.29882216,0.054089993,0.27595,4.0,0.102214575
SHBG (nM),IL-8 (pg/ml),0.30855,0.23162463,0.096080005,0.2778,4.0,0.2773542
Midkine (pg/ml),Follistatin (pg/ml),0.30801,0.2950794,0.117290005,0.24767,4.0,-0.11371282
PAR (pg/ml),CD44 (ng/ml),0.30746,0.24857575,0.123840004,0.25259,4.0,0.24266079
Galectin-3 (ng/ml),CA 15-3 (U/ml),0.30707,0.29727203,0.091269985,0.26721,4.0,0.09898465
Thrombospondin-2 (pg/ml),Midkine (pg/ml),0.30686,0.30685705,0.06237001,0.25722,4.0,-0.0017153258
TIMP-2 (pg/ml),SHBG (nM),0.30669,0.13480654,0.041920006,0.27813,4.0,0.4145883
PAR (pg/ml),IL-8 (pg/ml),0.30608,0.2007213,0.04885,0.28529,4.0,0.3245901
OPG (ng/ml),NSE (ng/ml),0.30594,0.2988845,0.12994,0.28106,4.0,-0.08399705
IL-8 (pg/ml),AXL (pg/ml),0.30586,0.27427262,0.14851001,0.26955,4.0,0.17772846
OPG (ng/ml),Leptin (pg/ml),0.30573,0.30569786,0.15345998,0.27478,4.0,0.005668936
HGF (pg/ml),CEA (pg/ml),0.3056,0.2889261,0.06372999,0.26784,4.0,-0.1291274
G-CSF (pg/ml),Follistatin (pg/ml),0.30539,0.23207448,0.077910006,0.29407,4.0,0.27076837
CA-125 (U/ml),AFP (pg/ml),0.30527,0.3050923,0.08570999,0.2664,4.0,0.013329906
PAR (pg/ml),Midkine (pg/ml),0.30366,0.30349594,0.04805,0.26491,4.0,-0.0128081795
Midkine (pg/ml),FGF2 (pg/ml),0.30346,0.28002948,0.105929986,0.2853,4.0,0.15307035
Midkine (pg/ml),CA19-9 (U/ml),0.30319,0.30283934,0.08852999,0.27124,4.0,-0.018725615
OPN (pg/ml),AFP (pg/ml),0.30171,0.2746284,0.093329996,0.28044,4.0,-0.16456486
Prolactin (pg/ml),PAR (pg/ml),0.30161,0.29775408,0.0843,0.2751,4.0,-0.06209607
TIMP-2 (pg/ml),CD44 (ng/ml),0.30157,0.3013321,0.047590002,0.26526,4.0,0.015424003
sHER2/sEGFR2/sErbB2 (pg/ml),CA19-9 (U/ml),0.30123,0.29743177,0.14519002,0.27638,4.0,-0.061629895
sHER2/sEGFR2/sErbB2 (pg/ml),PAR (pg/ml),0.30114,0.253426,0.09841001,0.27734,4.0,0.21843538
Mesothelin (ng/ml),CA-125 (U/ml),0.3011,0.27486542,0.111809984,0.27933,4.0,0.16197085
SHBG (nM),Endoglin (pg/ml),0.30087,0.289064,0.12786,0.27697,4.0,0.10865547
Myeloperoxidase (ng/ml),Midkine (pg/ml),0.2998,0.29510644,0.089320004,0.28336,4.0,0.068509705
Prolactin (pg/ml),Follistatin (pg/ml),0.29954,0.29844588,0.096460015,0.26339,4.0,-0.033077586
TGFa (pg/ml),NSE (ng/ml),0.29912,0.2624606,0.20541,0.25639,4.0,0.19146651
GDF15 (ng/ml),CYFRA 21-1 (pg/ml),0.29859,0.2806978,0.06734,0.28202,4.0,0.13376182
PAR (pg/ml),CA19-9 (U/ml),0.29783,0.2955466,0.07871999,0.27072,4.0,-0.04778487
Endoglin (pg/ml),CEA (pg/ml),0.29744,0.29096624,0.048580006,0.25963,4.0,0.080459565
Mesothelin (ng/ml),FGF2 (pg/ml),0.2974,0.2907035,0.12039,0.27073,4.0,-0.08183209
Thrombospondin-2 (pg/ml),DKK1 (ng/ml),0.29702,0.28896925,0.080769986,0.25796,4.0,0.08972592
SHBG (nM),CYFRA 21-1 (pg/ml),0.29657,0.2876674,0.14661,0.26009,4.0,0.094353646
sHER2/sEGFR2/sErbB2 (pg/ml),AFP (pg/ml),0.29643,0.28836843,0.12544999,0.27839,4.0,0.08978616
SHBG (nM),AXL (pg/ml),0.29633,0.2428379,0.072160006,0.27909,4.0,0.2312836
TIMP-2 (pg/ml),Thrombospondin-2 (pg/ml),0.29633,0.2808711,0.10842,0.2794,4.0,-0.12433385
GDF15 (ng/ml),Follistatin (pg/ml),0.29511,0.29447928,0.06504999,0.27396,4.0,0.0251139
TIMP-1 (pg/ml),G-CSF (pg/ml),0.29503,0.2505291,0.040179998,0.27456,4.0,-0.21095237
HGF (pg/ml),AFP (pg/ml),0.29498,0.29065478,0.056619987,0.26303,4.0,-0.06576629
sHER2/sEGFR2/sErbB2 (pg/ml),DKK1 (ng/ml),0.29492,0.28359708,0.06826,0.2724,4.0,0.10640919
TIMP-1 (pg/ml),OPN (pg/ml),0.29436,0.26974887,0.072660014,0.23808,4.0,0.15687938
OPN (pg/ml),Endoglin (pg/ml),0.29419,0.29413566,0.102469996,0.25725,4.0,-0.0073699644
Kallikrein-6 (pg/ml),IL-6 (pg/ml),0.2941,0.27531525,0.18015999,0.27065,4.0,-0.13705741
Endoglin (pg/ml),AFP (pg/ml),0.29375,0.27645558,0.117709994,0.2627,4.0,0.13150825
TIMP-1 (pg/ml),NSE (ng/ml),0.29318,0.27252993,0.04255998,0.25344,4.0,0.14370133
PAR (pg/ml),CA-125 (U/ml),0.29306,0.29126203,0.09463,0.26135,4.0,0.042402685
DKK1 (ng/ml),AXL (pg/ml),0.29219,0.22776444,0.10564999,0.26568,4.0,0.25382188
sEGFR (pg/ml),CEA (pg/ml),0.29199,0.2903258,0.061090007,0.24871,4.0,0.04079496
TIMP-2 (pg/ml),Midkine (pg/ml),0.29197,0.2711165,0.05208002,0.2631,4.0,-0.14440747
Endoglin (pg/ml),AXL (pg/ml),0.29145,0.2477891,0.029540002,0.25095,4.0,0.20895189
Prolactin (pg/ml),Mesothelin (ng/ml),0.29016,0.26221362,0.08059999,0.25654,4.0,-0.16717172
Endoglin (pg/ml),Angiopoietin-2 (pg/ml),0.29013,0.28947663,0.078739986,0.25138,4.0,0.025560701
