X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
Mesothelin (ng/ml),CA 15-3 (U/ml),0.39338,0.38992554,0.045589983,0.35931,3.321928,0.058774527
OPG (ng/ml),DKK1 (ng/ml),0.39211,0.36901072,0.05949998,0.3174,3.321928,0.15198444
sFas (pg/ml),AFP (pg/ml),0.3908,0.39031658,0.14996,0.31152,3.321928,-0.021987064
sPECAM-1 (pg/ml),sHER2/sEGFR2/sErbB2 (pg/ml),0.39012,0.03719932,0.060090005,0.39012,2.5849626,0.59407127
Mesothelin (ng/ml),HE4 (pg/ml),0.38962,0.37678838,0.106680006,0.31287,3.321928,0.11327673
TIMP-1 (pg/ml),Myeloperoxidase (ng/ml),0.38946,0.32011434,0.1004,0.31979,3.321928,0.26333562
Thrombospondin-2 (pg/ml),Myeloperoxidase (ng/ml),0.3883,0.17587501,0.20048,0.3116,3.321928,0.46089587
Leptin (pg/ml),CA-125 (U/ml),0.38755,0.38113043,0.058919996,0.34851,3.321928,-0.08012215
sFas (pg/ml),Galectin-3 (ng/ml),0.38743,0.37690726,0.07259002,0.34592,3.321928,0.102580436
TIMP-2 (pg/ml),OPN (pg/ml),0.38729,0.18500786,0.046450004,0.33219,3.321928,0.44975787
IL-8 (pg/ml),IL-6 (pg/ml),0.38682,0.3819324,0.061669976,0.31889,3.321928,0.069911286
TIMP-1 (pg/ml),GDF15 (ng/ml),0.38572,0.344038,0.1171,0.33471,3.321928,0.2041617
TGFa (pg/ml),HGF (pg/ml),0.38449,0.3723081,0.18335001,0.3411,3.321928,0.1103717
TIMP-1 (pg/ml),OPN (pg/ml),0.38434,0.25427556,0.051349998,0.3472,3.321928,0.3606445
NSE (ng/ml),CA 15-3 (U/ml),0.38427,0.37831783,0.09438002,0.28569,3.321928,-0.07715035
TIMP-1 (pg/ml),CYFRA 21-1 (pg/ml),0.38427,0.25988096,0.07075998,0.3019,3.321928,0.3526883
OPN (pg/ml),G-CSF (pg/ml),0.38424,0.3108588,0.13982,0.30066,3.321928,0.27088964
sPECAM-1 (pg/ml),G-CSF (pg/ml),0.38381,0.32625586,0.13904001,0.31355,3.321928,0.23990446
sPECAM-1 (pg/ml),FGF2 (pg/ml),0.38179,0.3496357,0.22031002,0.33086,3.321928,0.17931628
TIMP-1 (pg/ml),IL-6 (pg/ml),0.38127,0.21102205,0.07528001,0.33678,3.321928,-0.41261113
Galectin-3 (ng/ml),AFP (pg/ml),0.38119,0.38098004,0.17394,0.31074,3.321928,-0.014489672
CYFRA 21-1 (pg/ml),CA-125 (U/ml),0.38064,0.06077686,0.07181001,0.3361,3.321928,0.56556445
Leptin (pg/ml),CA 15-3 (U/ml),0.3802,0.3754454,0.06331,0.29301,3.321928,-0.06895358
TIMP-2 (pg/ml),NSE (ng/ml),0.37879,0.2433505,0.11373998,0.3399,3.321928,0.36802104
OPG (ng/ml),NSE (ng/ml),0.37875,0.34091553,0.04947999,0.34994,3.321928,0.19451082
sEGFR (pg/ml),AXL (pg/ml),0.37847,0.2613564,0.057390004,0.33469,3.321928,0.34221864
OPN (pg/ml),NSE (ng/ml),0.37837,0.35546583,0.07109998,0.31445,3.321928,0.1513412
Myeloperoxidase (ng/ml),DKK1 (ng/ml),0.37773,0.37608826,0.03338,0.34357,3.321928,0.04051842
HE4 (pg/ml),CYFRA 21-1 (pg/ml),0.37686,0.3733638,0.057559997,0.31447,3.321928,0.05912873
TIMP-2 (pg/ml),Follistatin (pg/ml),0.37666,0.37522754,0.112209976,0.26868,3.321928,0.03784774
TGFa (pg/ml),Leptin (pg/ml),0.37664,0.3757612,0.21633999,0.30786,3.321928,-0.02964413
Prolactin (pg/ml),Mesothelin (ng/ml),0.37647,0.34138966,0.068210006,0.29785,3.321928,-0.18729751
G-CSF (pg/ml),Follistatin (pg/ml),0.37583,0.18975808,0.053279996,0.3321,3.321928,0.43136054
IL-6 (pg/ml),CD44 (ng/ml),0.37444,0.117349386,0.07497001,0.33136,3.321928,0.50704104
PAR (pg/ml),AXL (pg/ml),0.37316,0.057428986,0.09404001,0.36961,3.321928,0.5618995
TIMP-2 (pg/ml),sFas (pg/ml),0.37278,0.34708497,0.15336,0.31269,3.321928,-0.16029671
GDF15 (ng/ml),CD44 (ng/ml),0.37213,0.37068057,0.06830999,0.26914,3.321928,-0.038071297
CA 15-3 (U/ml),AXL (pg/ml),0.37196,0.33901158,0.09911001,0.30335,3.321928,-0.18151703
sEGFR (pg/ml),Myeloperoxidase (ng/ml),0.37174,0.36931273,0.13900001,0.32619,3.321928,0.049267434
TIMP-1 (pg/ml),TGFa (pg/ml),0.37171,0.32416046,0.057419986,0.3462,3.321928,0.21805857
Midkine (pg/ml),DKK1 (ng/ml),0.37085,0.34247163,0.0627,0.33265,3.321928,0.16845879
sHER2/sEGFR2/sErbB2 (pg/ml),OPN (pg/ml),0.37084,0.33319372,0.13810001,0.3045,3.321928,-0.19402654
PAR (pg/ml),OPN (pg/ml),0.36981,0.24323322,0.11183998,0.28224,3.321928,0.35577628
IL-8 (pg/ml),HGF (pg/ml),0.36917,0.25487953,0.14493,0.32382,3.321928,0.33806875
sFas (pg/ml),HE4 (pg/ml),0.36821,0.3612563,0.113340005,0.31089,3.321928,-0.083388835
PAR (pg/ml),CA-125 (U/ml),0.36771,0.2471739,0.083670005,0.32499,3.321928,0.34718308
sEGFR (pg/ml),CEA (pg/ml),0.36707,0.36147043,0.03650999,0.30547,3.321928,0.07483021
OPG (ng/ml),CA-125 (U/ml),0.36698,0.33962476,0.09288001,0.32255,3.321928,0.16539411
Mesothelin (ng/ml),CYFRA 21-1 (pg/ml),0.36669,0.36396334,0.06256999,0.31985,3.321928,0.0522177
Thrombospondin-2 (pg/ml),NSE (ng/ml),0.3643,0.36379272,0.14737001,0.26784,3.321928,-0.022523401
TIMP-1 (pg/ml),sHER2/sEGFR2/sErbB2 (pg/ml),0.36397,0.35981137,0.076490015,0.29885,3.321928,-0.06448768
IL-8 (pg/ml),CA-125 (U/ml),0.36326,0.29075414,0.059799984,0.31225,3.321928,0.26926914
IL-8 (pg/ml),CA 15-3 (U/ml),0.36197,0.3323408,0.09632,0.31074,3.321928,0.17213131
IL-8 (pg/ml),G-CSF (pg/ml),0.36193,0.3619133,0.13011,0.33681,3.321928,0.0040889825
Endoglin (pg/ml),CA 15-3 (U/ml),0.36182,0.33384746,0.17095001,0.31498,3.321928,-0.16725
TIMP-2 (pg/ml),Endoglin (pg/ml),0.36172,0.33973333,0.13943,0.24833,3.321928,-0.14827897
SHBG (nM),CEA (pg/ml),0.36151,0.3145244,0.031619996,0.32126,3.321928,0.21676165
TIMP-1 (pg/ml),CA-125 (U/ml),0.36144,0.14578114,0.051340014,0.27114,3.321928,0.46439084
Kallikrein-6 (pg/ml),CD44 (ng/ml),0.36142,0.31362763,0.15832001,0.29301,3.321928,-0.21861467
TIMP-2 (pg/ml),OPG (ng/ml),0.36001,0.25614917,0.10204001,0.35177,3.321928,0.32227445
TIMP-2 (pg/ml),G-CSF (pg/ml),0.35995,0.29166284,0.069419995,0.299,3.321928,0.26131815
Prolactin (pg/ml),AFP (pg/ml),0.35905,0.34861818,0.060100004,0.2827,3.321928,-0.102136284
DKK1 (ng/ml),CEA (pg/ml),0.3584,0.35769138,0.14576998,0.29218,3.321928,-0.026619736
OPG (ng/ml),Kallikrein-6 (pg/ml),0.35785,0.3076483,0.13793999,0.29677,3.321928,0.22405735
SHBG (nM),OPN (pg/ml),0.35776,0.34579492,0.11353001,0.28283,3.321928,0.10938513
HE4 (pg/ml),CA-125 (U/ml),0.35759,0.3313194,0.08726999,0.28982,3.321928,0.16208208
PAR (pg/ml),Midkine (pg/ml),0.35728,0.23300208,0.04165998,0.309,3.321928,0.35253072
sHER2/sEGFR2/sErbB2 (pg/ml),CYFRA 21-1 (pg/ml),0.35728,0.35726422,0.049510002,0.28505,3.321928,0.003970987
Midkine (pg/ml),HE4 (pg/ml),0.35715,0.33150393,0.051809996,0.31007,3.321928,0.16014388
TIMP-1 (pg/ml),NSE (ng/ml),0.35533,0.31746355,0.09467,0.30759,3.321928,0.19459304
sEGFR (pg/ml),GDF15 (ng/ml),0.35532,0.34180376,0.14197999,0.30892,3.321928,-0.11625942
PAR (pg/ml),CYFRA 21-1 (pg/ml),0.35531,0.2292984,0.09479,0.28636,3.321928,0.35498112
sPECAM-1 (pg/ml),GDF15 (ng/ml),0.35524,0.34134114,0.055599988,0.30607,3.321928,-0.11789341
TIMP-1 (pg/ml),CA19-9 (U/ml),0.35511,0.35510662,0.10718998,0.20794,3.321928,-0.0018370168
Midkine (pg/ml),CA 15-3 (U/ml),0.35432,0.18593398,0.068289995,0.30299,3.321928,0.41034865
Endoglin (pg/ml),CEA (pg/ml),0.35398,0.34896144,0.05832,0.28778,3.321928,-0.07084172
TIMP-1 (pg/ml),AXL (pg/ml),0.35367,0.34203023,0.0776,0.28887,3.321928,0.10788776
PAR (pg/ml),CEA (pg/ml),0.35354,0.3501033,0.10833,0.28611,3.321928,0.058623433
Thrombospondin-2 (pg/ml),CYFRA 21-1 (pg/ml),0.35345,0.35340068,0.094500005,0.30716,3.321928,0.0070230747
PAR (pg/ml),FGF2 (pg/ml),0.35292,0.24868609,0.08051999,0.31542,3.321928,0.32285276
PAR (pg/ml),AFP (pg/ml),0.35274,0.34867036,0.055820003,0.25309,3.321928,0.06379357
NSE (ng/ml),Galectin-3 (ng/ml),0.35223,0.24904722,0.051459998,0.26233,3.321928,0.3212208
TIMP-2 (pg/ml),sHER2/sEGFR2/sErbB2 (pg/ml),0.35223,0.34559742,0.12880002,0.25678,3.321928,0.081440836
sFas (pg/ml),Prolactin (pg/ml),0.35168,0.3263949,0.15897001,0.31445,3.321928,-0.15901297
CEA (pg/ml),AFP (pg/ml),0.35149,0.29669303,0.16061999,0.25826,3.321928,0.23408751
IL-6 (pg/ml),CA-125 (U/ml),0.35148,0.34190047,0.079650015,0.33178,3.321928,-0.0978751
HGF (pg/ml),AXL (pg/ml),0.35136,0.34717834,0.13822,0.31806,3.321928,-0.06466567
OPN (pg/ml),CA 15-3 (U/ml),0.351,0.31505433,0.03618999,0.2901,3.321928,0.18959345
sFas (pg/ml),OPG (ng/ml),0.35045,0.34971744,0.055620015,0.31456,3.321928,-0.027065884
OPN (pg/ml),GDF15 (ng/ml),0.35023,0.061012626,0.072510004,0.29629,3.321928,0.53778934
Thrombospondin-2 (pg/ml),FGF2 (pg/ml),0.34995,0.3499375,0.0828,0.31134,3.321928,-0.0035356258
IL-6 (pg/ml),Galectin-3 (ng/ml),0.3497,0.2698982,0.079649985,0.3182,3.321928,-0.28249213
Kallikrein-6 (pg/ml),IL-8 (pg/ml),0.34952,0.17459948,0.03934002,0.31839,3.321928,0.418235
FGF2 (pg/ml),CYFRA 21-1 (pg/ml),0.34951,0.34394538,0.08198002,0.29629,3.321928,0.07459638
TIMP-2 (pg/ml),PAR (pg/ml),0.34943,0.18268366,0.08594,0.27165,3.321928,0.40834585
sEGFR (pg/ml),IL-6 (pg/ml),0.34784,0.3466379,0.10539,0.32024,3.321928,0.03467138
IL-8 (pg/ml),HE4 (pg/ml),0.34738,0.3378683,0.04618001,0.30478,3.321928,0.09752795
NSE (ng/ml),DKK1 (ng/ml),0.3471,0.32706058,0.03915,0.3471,3.0,0.14156066
TIMP-2 (pg/ml),IL-8 (pg/ml),0.34658,0.3367612,0.096569985,0.27005,3.321928,0.099089764
SHBG (nM),Follistatin (pg/ml),0.34613,0.30276912,0.07378,0.30519,3.321928,0.20823275
Leptin (pg/ml),Follistatin (pg/ml),0.34539,0.3441995,0.10403,0.26514,3.321928,-0.034503207
CYFRA 21-1 (pg/ml),CEA (pg/ml),0.34528,0.337696,0.040580004,0.28193,3.321928,-0.08708622
CEA (pg/ml),CA 15-3 (U/ml),0.34478,0.30005682,0.07065998,0.28519,3.321928,-0.21147858
Myeloperoxidase (ng/ml),HE4 (pg/ml),0.34439,0.3227928,0.15277,0.29474,3.321928,0.14695992
sHER2/sEGFR2/sErbB2 (pg/ml),Leptin (pg/ml),0.34435,0.33664742,0.094349995,0.29465,3.321928,0.08776442
sFas (pg/ml),CA19-9 (U/ml),0.34394,0.34334302,0.17808999,0.29045,3.321928,-0.024432762
Follistatin (pg/ml),CYFRA 21-1 (pg/ml),0.34282,0.33998674,0.16753998,0.28369,3.321928,0.053228136
FGF2 (pg/ml),DKK1 (ng/ml),0.34271,0.13918975,0.12611999,0.30382,3.321928,0.45113218
sEGFR (pg/ml),NSE (ng/ml),0.34164,0.33942223,0.10026999,0.27168,3.321928,0.04709316
Thrombospondin-2 (pg/ml),CD44 (ng/ml),0.34161,0.29118586,0.06615001,0.26491,3.321928,0.22455327
Mesothelin (ng/ml),AXL (pg/ml),0.34135,0.3214417,0.12235999,0.26869,3.321928,0.14109668
OPG (ng/ml),AXL (pg/ml),0.34077,0.32166317,0.13676001,0.26514,3.321928,0.13822745
TGFa (pg/ml),PAR (pg/ml),0.34039,0.26016897,0.21537,0.28029,3.321928,0.28323314
TIMP-2 (pg/ml),SHBG (nM),0.34003,0.22267255,0.057440013,0.25029,3.321928,0.34257475
PAR (pg/ml),Angiopoietin-2 (pg/ml),0.33995,0.27118126,0.060629994,0.29121,3.321928,0.26223797
Midkine (pg/ml),CYFRA 21-1 (pg/ml),0.33986,0.30225298,0.031560004,0.30671,3.321928,0.19392526
Prolactin (pg/ml),Myeloperoxidase (ng/ml),0.3395,0.27694368,0.071150005,0.27482,3.321928,-0.25011265
OPG (ng/ml),Leptin (pg/ml),0.33928,0.32678825,0.09764999,0.2977,3.321928,0.111766554
sHER2/sEGFR2/sErbB2 (pg/ml),PAR (pg/ml),0.33888,0.23636197,0.07426,0.24295,3.321928,0.32018438
Kallikrein-6 (pg/ml),Angiopoietin-2 (pg/ml),0.33874,0.31054166,0.13373,0.26351,3.321928,0.16792355
SHBG (nM),DKK1 (ng/ml),0.33829,0.33606568,0.14103,0.29671,3.321928,0.0471629
NSE (ng/ml),AXL (pg/ml),0.33823,0.33746254,0.12910001,0.26461,3.321928,0.027703129
Mesothelin (ng/ml),IL-8 (pg/ml),0.33796,0.3340669,0.10955,0.28383,3.321928,-0.06239472
IL-8 (pg/ml),DKK1 (ng/ml),0.33724,0.18433261,0.07982001,0.26981,3.321928,0.39103377
IL-8 (pg/ml),CA19-9 (U/ml),0.33678,0.32277352,0.07206002,0.27567,3.321928,0.118349105
sHER2/sEGFR2/sErbB2 (pg/ml),HE4 (pg/ml),0.33678,0.33399186,0.107030004,0.24199,3.321928,-0.052802954
sHER2/sEGFR2/sErbB2 (pg/ml),sFas (pg/ml),0.33678,0.33623904,0.08468999,0.30809,3.321928,0.023258725
HGF (pg/ml),Angiopoietin-2 (pg/ml),0.33648,0.19512464,0.10991998,0.29037,3.321928,0.37597254
Mesothelin (ng/ml),Leptin (pg/ml),0.33621,0.32224774,0.11102998,0.27411,3.321928,-0.118162066
OPN (pg/ml),Mesothelin (ng/ml),0.33605,0.3294629,0.030469999,0.30193,3.321928,0.081161015
sEGFR (pg/ml),Angiopoietin-2 (pg/ml),0.33499,0.33130342,0.10422999,0.3038,3.321928,-0.060717274
SHBG (nM),PAR (pg/ml),0.33486,0.32864118,0.048229992,0.28761,3.321928,0.07885955
sPECAM-1 (pg/ml),CEA (pg/ml),0.33483,0.33105138,0.04651001,0.28769,3.321928,0.061470363
Prolactin (pg/ml),Leptin (pg/ml),0.33472,0.33050868,0.16050999,0.24367,3.321928,-0.06489462
sEGFR (pg/ml),PAR (pg/ml),0.33441,0.30156353,0.13329001,0.27323,3.321928,0.181236
G-CSF (pg/ml),Endoglin (pg/ml),0.33427,0.15894428,0.11403,0.28287,3.321928,0.41871914
Midkine (pg/ml),Angiopoietin-2 (pg/ml),0.33421,0.30424833,0.13895999,0.29689,3.321928,0.1730944
Mesothelin (ng/ml),CD44 (ng/ml),0.33397,0.20433418,0.06256002,0.26869,3.321928,0.36004975
HGF (pg/ml),Galectin-3 (ng/ml),0.33386,0.3072824,0.08293,0.25955,3.321928,0.16302647
TIMP-2 (pg/ml),CA-125 (U/ml),0.33338,0.309883,0.14459002,0.23522,3.321928,0.15328741
TIMP-1 (pg/ml),Angiopoietin-2 (pg/ml),0.33333,0.26352072,0.068560004,0.26062,3.321928,0.2642145
sHER2/sEGFR2/sErbB2 (pg/ml),CA 15-3 (U/ml),0.33328,0.29048952,0.11948,0.28641,3.321928,-0.2068586
sEGFR (pg/ml),G-CSF (pg/ml),0.33323,0.26300988,0.06522001,0.27305,3.321928,0.26499078
Midkine (pg/ml),Kallikrein-6 (pg/ml),0.33263,0.29654106,0.05316001,0.28004,3.321928,0.1899709
IL-8 (pg/ml),FGF2 (pg/ml),0.33261,0.26418117,0.094280005,0.28344,3.321928,0.26158908
Galectin-3 (ng/ml),CYFRA 21-1 (pg/ml),0.33236,0.33062673,0.12001,0.24413,3.321928,0.041632712
TIMP-1 (pg/ml),FGF2 (pg/ml),0.33217,0.3308264,0.08960001,0.28179,3.321928,0.03665527
TIMP-2 (pg/ml),HE4 (pg/ml),0.33216,0.31521568,0.057850003,0.24717,3.321928,-0.1301703
OPG (ng/ml),Galectin-3 (ng/ml),0.3321,0.3276549,0.025330007,0.29626,3.321928,0.06667158
sFas (pg/ml),CYFRA 21-1 (pg/ml),0.332,0.32842603,0.08800998,0.2696,3.321928,-0.059782572
OPN (pg/ml),IL-6 (pg/ml),0.33186,0.30972913,0.089039996,0.30809,3.321928,-0.14876449
Prolactin (pg/ml),IL-6 (pg/ml),0.33112,0.251213,0.11785002,0.25081,3.321928,0.28267825
TIMP-1 (pg/ml),PAR (pg/ml),0.33027,0.13005525,0.103949994,0.27788,3.321928,0.44745362
GDF15 (ng/ml),Follistatin (pg/ml),0.3302,0.21205562,0.09208,0.29514,3.321928,0.34372136
Prolactin (pg/ml),DKK1 (ng/ml),0.33007,0.28282028,0.070820004,0.30018,3.321928,-0.21737
PAR (pg/ml),HE4 (pg/ml),0.32973,0.3291836,0.12276,0.24298,3.321928,0.02337486
