X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
CA19-9 (U/ml),CA-125 (U/ml),0.44329,-0.2278912,0.11621001,0.4307,4.5849624,0.8192565
TIMP-2 (pg/ml),TIMP-1 (pg/ml),0.43246,0.29046473,0.031069994,0.42005,4.5849624,0.37682262
IL-6 (pg/ml),CD44 (ng/ml),0.42537,-0.047953695,0.06929001,0.37357,4.5849624,0.68798524
IL-6 (pg/ml),HGF (pg/ml),0.42451,0.40792674,0.109779984,0.40941,4.5849624,-0.12877598
Thrombospondin-2 (pg/ml),AFP (pg/ml),0.42166,0.38195294,0.088590026,0.42166,4.4594316,0.1992663
HGF (pg/ml),CYFRA 21-1 (pg/ml),0.42015,0.35858428,0.10793999,0.40426,4.5849624,0.24812439
HE4 (pg/ml),G-CSF (pg/ml),0.41976,0.41745692,0.15059999,0.40253,4.5849624,-0.04799025
TIMP-1 (pg/ml),GDF15 (ng/ml),0.40672,-0.10720995,0.072730005,0.39394,4.5849624,0.7168891
TIMP-2 (pg/ml),TGFa (pg/ml),0.39923,0.3803082,0.17055,0.384,4.5849624,-0.13755655
Mesothelin (ng/ml),CD44 (ng/ml),0.39534,0.093569875,0.04094,0.378,4.5849624,0.5493361
Myeloperoxidase (ng/ml),IL-6 (pg/ml),0.38814,0.377548,0.20583999,0.37774,4.5849624,-0.10291734
HE4 (pg/ml),CD44 (ng/ml),0.38587,0.26481578,0.16922998,0.37619,4.5849624,0.3479285
IL-8 (pg/ml),IL-6 (pg/ml),0.38506,0.38272625,0.0776,0.36832,4.5849624,0.048308946
TGFa (pg/ml),Midkine (pg/ml),0.38438,0.38437945,0.090280026,0.37261,4.5849624,7.505651E-4
HGF (pg/ml),FGF2 (pg/ml),0.38362,0.36222932,0.07500002,0.36833,4.5849624,0.14625555
NSE (ng/ml),Myeloperoxidase (ng/ml),0.38294,0.14735277,0.08783999,0.36518,4.5849624,0.4853733
Thrombospondin-2 (pg/ml),CA19-9 (U/ml),0.3791,-0.12218568,0.07936001,0.36274,4.5849624,0.7080153
CYFRA 21-1 (pg/ml),AFP (pg/ml),0.37831,0.36674243,0.11923002,0.35941,4.5849624,0.107552566
IL-6 (pg/ml),G-CSF (pg/ml),0.37596,0.36679766,0.16387999,0.37596,3.807355,-0.09572014
sFas (pg/ml),AFP (pg/ml),0.37533,0.37446654,0.13024,0.36539,4.5849624,0.029384773
HGF (pg/ml),CA19-9 (U/ml),0.37451,0.36449817,0.09104,0.356,4.5849624,0.100059085
Thrombospondin-2 (pg/ml),CYFRA 21-1 (pg/ml),0.37423,-0.34642848,0.04536,0.33559,4.5849624,0.84891605
Myeloperoxidase (ng/ml),DKK1 (ng/ml),0.37337,0.29064566,0.032600015,0.35925,4.5849624,0.2876184
sFas (pg/ml),CA-125 (U/ml),0.37089,0.3664921,0.115480006,0.25813,4.5849624,0.06631669
Thrombospondin-2 (pg/ml),Myeloperoxidase (ng/ml),0.36574,0.36556244,0.20598,0.34769,4.5849624,0.013324861
G-CSF (pg/ml),CYFRA 21-1 (pg/ml),0.36383,0.34401435,0.11287999,0.35219,4.5849624,0.14076813
CA19-9 (U/ml),AFP (pg/ml),0.36225,0.27247483,0.13920999,0.34841,4.5849624,0.29962504
TIMP-1 (pg/ml),OPG (ng/ml),0.36185,0.35218433,0.05732,0.34088,4.5849624,-0.09831412
IL-6 (pg/ml),CA-125 (U/ml),0.36073,0.36061743,0.050630003,0.29811,4.5849624,-0.010609209
OPG (ng/ml),GDF15 (ng/ml),0.35845,0.35692856,0.080429986,0.34778,4.5849624,0.039005786
PAR (pg/ml),AXL (pg/ml),0.35515,0.16034661,0.07298002,0.33958,4.5849624,0.4413654
CYFRA 21-1 (pg/ml),CD44 (ng/ml),0.35341,0.33455876,0.17934,0.33702,4.5849624,0.13729985
IL-8 (pg/ml),CA19-9 (U/ml),0.35309,0.34614223,0.057769984,0.34075,4.5849624,0.08335326
Thrombospondin-2 (pg/ml),CD44 (ng/ml),0.35278,0.31360543,0.15168001,0.33589,4.5849624,0.19792567
IL-6 (pg/ml),AFP (pg/ml),0.3527,0.33890286,0.08162999,0.3527,4.4594316,0.11746119
Myeloperoxidase (ng/ml),Galectin-3 (ng/ml),0.35219,0.23804405,0.044970006,0.34116,4.5849624,0.3378549
PAR (pg/ml),Midkine (pg/ml),0.35193,0.31471714,0.04266998,0.33003,4.5849624,0.1929063
NSE (ng/ml),HE4 (pg/ml),0.35133,0.34500903,0.11658001,0.30197,4.5849624,-0.079504564
sFas (pg/ml),CA19-9 (U/ml),0.34603,0.34364223,0.06673999,0.34229,4.5849624,0.048864685
CYFRA 21-1 (pg/ml),CA-125 (U/ml),0.34408,-0.45324615,0.07873,0.31533,4.3923173,0.8929312
sFas (pg/ml),CD44 (ng/ml),0.33971,0.3281757,0.081070006,0.33971,4.321928,-0.107397884
NSE (ng/ml),CYFRA 21-1 (pg/ml),0.33815,0.31829467,0.06425001,0.32095,4.5849624,0.1409089
G-CSF (pg/ml),CA19-9 (U/ml),0.33467,0.32359543,0.118010014,0.31765,4.5849624,0.10523581
sFas (pg/ml),G-CSF (pg/ml),0.33401,0.3222564,0.17139001,0.33365,4.5849624,0.10841417
IL-6 (pg/ml),FGF2 (pg/ml),0.33327,0.29854083,0.10327999,0.31908,4.5849624,-0.18635768
CD44 (ng/ml),AFP (pg/ml),0.33254,0.30997887,0.07096,0.31726,4.5849624,0.1502036
CD44 (ng/ml),AXL (pg/ml),0.33117,0.11883728,0.043529987,0.31398,4.5849624,0.46079573
Follistatin (pg/ml),CD44 (ng/ml),0.33015,0.31242958,0.10720001,0.31394,4.5849624,0.13311812
sHER2/sEGFR2/sErbB2 (pg/ml),sEGFR (pg/ml),0.32888,0.3247441,0.10496001,0.31161,4.5849624,0.064310946
sPECAM-1 (pg/ml),Midkine (pg/ml),0.3276,0.32115042,0.07458,0.30921,4.5849624,0.080309294
TGFa (pg/ml),CD44 (ng/ml),0.32739,0.3233519,0.08173001,0.31576,4.5849624,-0.063546106
OPG (ng/ml),IL-6 (pg/ml),0.32642,0.32631248,0.112469986,0.31508,4.5849624,-0.010370212
TIMP-2 (pg/ml),CA19-9 (U/ml),0.32633,0.32320693,0.10972,0.32633,4.321928,-0.055884536
Thrombospondin-2 (pg/ml),CA-125 (U/ml),0.32625,-0.52537215,0.09714,0.31467,4.5849624,0.92283374
G-CSF (pg/ml),DKK1 (ng/ml),0.32552,0.18975407,0.10463999,0.31198,4.5849624,0.3684643
Myeloperoxidase (ng/ml),CA19-9 (U/ml),0.32334,0.322773,0.12967,0.30601,4.5849624,0.023811309
sEGFR (pg/ml),Angiopoietin-2 (pg/ml),0.32334,0.2945274,0.05262001,0.31159,4.5849624,0.16974275
PAR (pg/ml),GDF15 (ng/ml),0.32159,0.25455183,0.13314001,0.30629,4.5849624,0.25891733
sFas (pg/ml),IL-8 (pg/ml),0.32151,0.30445328,0.067540005,0.31244,4.5849624,0.13060132
Myeloperoxidase (ng/ml),HE4 (pg/ml),0.32133,0.31688562,0.17956999,0.31664,4.5849624,-0.06666621
NSE (ng/ml),FGF2 (pg/ml),0.3212,0.1898695,0.051609993,0.31164,4.5849624,0.36239552
TIMP-1 (pg/ml),PAR (pg/ml),0.321,0.17586069,0.040340006,0.30565,4.5849624,0.38097155
sPECAM-1 (pg/ml),AFP (pg/ml),0.32054,0.27863038,0.08087,0.30777,4.5849624,0.2047184
OPN (pg/ml),HGF (pg/ml),0.3193,0.21697828,0.058310002,0.30375,4.5849624,0.31987765
Thrombospondin-2 (pg/ml),IL-6 (pg/ml),0.3188,0.31720564,0.06742999,0.29559,4.5849624,0.03992946
Thrombospondin-2 (pg/ml),sFas (pg/ml),0.31647,0.31209546,0.071970016,0.30191,4.5849624,0.06614017
OPG (ng/ml),Mesothelin (ng/ml),0.31624,0.27271473,0.09201001,0.29838,4.5849624,0.20862712
TIMP-2 (pg/ml),OPG (ng/ml),0.31586,0.3117042,0.058280006,0.30728,4.5849624,-0.06446562
NSE (ng/ml),HGF (pg/ml),0.31311,0.24637753,0.031699985,0.30488,4.5849624,0.2583263
G-CSF (pg/ml),CD44 (ng/ml),0.31305,0.29627153,0.14633998,0.29499,4.5849624,-0.12953177
TIMP-2 (pg/ml),IL-6 (pg/ml),0.31298,0.30180496,0.078140005,0.30281,4.5849624,0.10571203
NSE (ng/ml),Endoglin (pg/ml),0.31238,0.30388725,0.06436001,0.2987,4.5849624,-0.0921561
TIMP-2 (pg/ml),HE4 (pg/ml),0.31235,0.2814221,0.09014,0.27017,4.5849624,0.1758633
sPECAM-1 (pg/ml),PAR (pg/ml),0.31156,0.25154993,0.032629997,0.29294,4.5849624,0.24496955
Myeloperoxidase (ng/ml),CYFRA 21-1 (pg/ml),0.31133,0.3093665,0.08672,0.29747,4.5849624,0.04431133
OPG (ng/ml),CYFRA 21-1 (pg/ml),0.31125,0.31039298,0.15867001,0.29748,4.5849624,0.02927518
Mesothelin (ng/ml),Endoglin (pg/ml),0.31117,0.2248052,0.09727001,0.28825,4.5849624,0.2938789
CA-125 (U/ml),AFP (pg/ml),0.31115,0.2639465,0.0628,0.29552,4.5849624,0.21726371
NSE (ng/ml),Midkine (pg/ml),0.311,0.27580243,0.06717999,0.29438,4.5849624,0.18761013
Midkine (pg/ml),HGF (pg/ml),0.31089,-0.3788177,0.030960009,0.29617,4.5849624,0.8304864
TIMP-2 (pg/ml),FGF2 (pg/ml),0.30993,0.13059269,0.04738,0.29337,4.5849624,-0.42348236
NSE (ng/ml),G-CSF (pg/ml),0.30968,0.23044807,0.07431999,0.29299,4.5849624,0.28148168
IL-8 (pg/ml),AFP (pg/ml),0.30903,0.30893934,0.066080004,0.30903,4.4594316,0.009521146
FGF2 (pg/ml),Angiopoietin-2 (pg/ml),0.30748,0.30439606,0.13423,0.29361,4.5849624,-0.05553339
FGF2 (pg/ml),CA19-9 (U/ml),0.30644,0.22340979,0.07132,0.29001,4.5849624,0.28814963
Myeloperoxidase (ng/ml),IL-8 (pg/ml),0.30539,0.29819912,0.051640004,0.29162,4.5849624,0.0847991
Thrombospondin-2 (pg/ml),Midkine (pg/ml),0.30368,0.30367512,0.080090016,0.29038,4.5849624,0.002213249
TIMP-2 (pg/ml),Mesothelin (ng/ml),0.3036,0.1641519,0.06721999,0.28998,4.5849624,0.3734275
Mesothelin (ng/ml),FGF2 (pg/ml),0.30356,0.1968922,0.08159998,0.29048,4.5849624,-0.32660034
Prolactin (pg/ml),CYFRA 21-1 (pg/ml),0.30353,0.3032428,0.16426001,0.28598,4.5849624,-0.016946724
NSE (ng/ml),IL-8 (pg/ml),0.30341,0.3030639,0.12721999,0.27956,4.5849624,0.018603224
Mesothelin (ng/ml),CYFRA 21-1 (pg/ml),0.30276,0.28806207,0.13312998,0.2901,4.5849624,-0.121235006
sPECAM-1 (pg/ml),G-CSF (pg/ml),0.30265,0.27383322,0.058160007,0.28897,4.5849624,0.1697551
G-CSF (pg/ml),AFP (pg/ml),0.30253,0.2995135,0.051759988,0.28466,4.5849624,0.05492275
sPECAM-1 (pg/ml),Follistatin (pg/ml),0.30114,0.2532378,0.062580004,0.28898,4.5849624,0.21886571
Thrombospondin-2 (pg/ml),Mesothelin (ng/ml),0.30105,0.29955384,0.095750004,0.28444,4.5849624,-0.038680367
HGF (pg/ml),CD44 (ng/ml),0.30027,0.29035687,0.09042999,0.28215,4.5849624,-0.09956459
Myeloperoxidase (ng/ml),Midkine (pg/ml),0.30003,0.2835381,0.090359986,0.28094,4.5849624,0.12842077
FGF2 (pg/ml),CD44 (ng/ml),0.29984,0.2166442,0.053940013,0.28533,4.5849624,-0.28843683
TIMP-2 (pg/ml),Angiopoietin-2 (pg/ml),0.2998,0.29842824,0.0659,0.28553,4.5849624,0.03703743
Midkine (pg/ml),HE4 (pg/ml),0.2996,0.29908198,0.093639985,0.28765,4.5849624,-0.022760399
Myeloperoxidase (ng/ml),AFP (pg/ml),0.29837,0.2964792,0.099950016,0.28299,4.5849624,-0.04348345
Midkine (pg/ml),CD44 (ng/ml),0.2966,0.29611945,0.053269997,0.28001,4.5849624,-0.021921907
sHER2/sEGFR2/sErbB2 (pg/ml),GDF15 (ng/ml),0.29605,-0.22308606,0.10354002,0.27987,4.5849624,0.72051096
sPECAM-1 (pg/ml),Endoglin (pg/ml),0.29601,0.14321676,0.09094,0.28281,4.5849624,0.39088774
OPG (ng/ml),AFP (pg/ml),0.29589,0.29427117,0.17302,0.28148,4.5849624,-0.040234897
IL-8 (pg/ml),FGF2 (pg/ml),0.29386,0.27242956,0.044389993,0.27898,4.5849624,0.14639139
Prolactin (pg/ml),Mesothelin (ng/ml),0.29356,0.27578664,0.058310002,0.27183,4.5849624,-0.13331681
HGF (pg/ml),Galectin-3 (ng/ml),0.29289,0.22487246,0.06388,0.27951,4.5849624,0.26080176
Mesothelin (ng/ml),Angiopoietin-2 (pg/ml),0.29264,0.27657235,0.08599,0.27539,4.5849624,0.12675825
sFas (pg/ml),FGF2 (pg/ml),0.29236,0.2916582,0.06720999,0.28339,4.5849624,0.026492026
Thrombospondin-2 (pg/ml),HGF (pg/ml),0.29214,0.25933063,0.068330005,0.26329,4.5849624,0.18113363
HGF (pg/ml),DKK1 (ng/ml),0.2921,0.20799476,0.05745001,0.2799,4.5849624,0.29000905
OPG (ng/ml),HE4 (pg/ml),0.29147,0.2900815,0.10501,0.28061,4.5849624,-0.03726237
CD44 (ng/ml),CA-125 (U/ml),0.29108,0.26633456,0.08397001,0.28089,4.5849624,0.15730685
CD44 (ng/ml),CA19-9 (U/ml),0.29016,0.27208155,0.1296,0.2764,4.5849624,0.13445608
OPN (pg/ml),Myeloperoxidase (ng/ml),0.28995,0.2633791,0.024310023,0.27613,4.5849624,0.1630059
PAR (pg/ml),DKK1 (ng/ml),0.28967,0.27835461,0.102879986,0.27479,4.5849624,0.10637381
NSE (ng/ml),IL-6 (pg/ml),0.28886,0.26274356,0.05664,0.27789,4.5849624,-0.16160576
Leptin (pg/ml),CD44 (ng/ml),0.28841,0.2740328,0.09362,0.27342,4.5849624,0.11990502
OPN (pg/ml),IL-8 (pg/ml),0.28736,0.21871808,0.05762002,0.2697,4.5849624,0.26199603
Myeloperoxidase (ng/ml),FGF2 (pg/ml),0.28713,0.27851522,0.06958999,0.27571,4.5849624,0.09281589
TIMP-2 (pg/ml),CYFRA 21-1 (pg/ml),0.28712,0.2814633,0.037550002,0.27022,4.5849624,-0.07521121
Galectin-3 (ng/ml),DKK1 (ng/ml),0.28689,0.24119285,0.10366,0.27136,4.5849624,0.21376891
Endoglin (pg/ml),Angiopoietin-2 (pg/ml),0.28669,0.1909554,0.07000999,0.26941,4.5849624,0.3094101
OPG (ng/ml),Myeloperoxidase (ng/ml),0.28657,0.28008735,0.104700014,0.27348,4.5849624,-0.08051505
Kallikrein-6 (pg/ml),IL-6 (pg/ml),0.286,0.2648125,0.09257001,0.26479,4.5849624,0.14555933
sPECAM-1 (pg/ml),NSE (ng/ml),0.28525,0.18018663,0.08377999,0.27106,4.5849624,0.32413483
HGF (pg/ml),G-CSF (pg/ml),0.28395,0.25006634,0.035259992,0.26792,4.5849624,0.18407519
sPECAM-1 (pg/ml),sHER2/sEGFR2/sErbB2 (pg/ml),0.28358,0.24403167,0.018490002,0.27217,4.5849624,0.19886762
FGF2 (pg/ml),CA-125 (U/ml),0.28305,0.2076791,0.06398,0.26923,4.5849624,0.27453762
Midkine (pg/ml),IL-8 (pg/ml),0.2829,0.2813348,0.0941,0.26251,4.5849624,-0.03956289
G-CSF (pg/ml),CA-125 (U/ml),0.28266,0.26722687,0.10776001,0.26661,4.5849624,0.12423015
HE4 (pg/ml),DKK1 (ng/ml),0.28158,0.28157756,0.13188,0.27045,4.5849624,-0.0015640274
sHER2/sEGFR2/sErbB2 (pg/ml),Mesothelin (ng/ml),0.28081,0.2769303,0.04896,0.26804,4.5849624,-0.0622872
TIMP-1 (pg/ml),Midkine (pg/ml),0.28079,0.23675476,0.03625001,0.26697,4.5849624,0.20984577
Midkine (pg/ml),AFP (pg/ml),0.28063,0.28049317,0.06296,0.26519,4.5849624,0.011696878
sHER2/sEGFR2/sErbB2 (pg/ml),PAR (pg/ml),0.28059,0.23781566,0.030900002,0.26713,4.5849624,0.20681958
Thrombospondin-2 (pg/ml),OPG (ng/ml),0.28049,0.2777561,0.083330005,0.272,4.5849624,0.052286744
OPN (pg/ml),Galectin-3 (ng/ml),0.2803,0.1705634,0.028759986,0.26355,4.5849624,0.33126515
PAR (pg/ml),FGF2 (pg/ml),0.28001,0.24469887,0.04475002,0.26657,4.5849624,-0.18791261
Myeloperoxidase (ng/ml),Follistatin (pg/ml),0.27861,0.27409676,0.05568999,0.26331,4.5849624,0.06718057
Thrombospondin-2 (pg/ml),sPECAM-1 (pg/ml),0.2786,0.25197792,0.080290005,0.26408,4.5849624,0.16316277
Thrombospondin-2 (pg/ml),NSE (ng/ml),0.27748,0.25702423,0.10169999,0.26381,4.5849624,0.1430237
Thrombospondin-2 (pg/ml),PAR (pg/ml),0.27721,0.21998367,0.04200001,0.2647,4.5849624,0.23922025
Midkine (pg/ml),G-CSF (pg/ml),0.27665,0.24200462,0.03438002,0.25946,4.5849624,0.18613274
HGF (pg/ml),CA-125 (U/ml),0.27551,0.23475981,0.11544001,0.26192,4.5849624,0.2018668
Mesothelin (ng/ml),IL-6 (pg/ml),0.27359,0.20336977,0.07862,0.25345,4.5849624,0.264991
sPECAM-1 (pg/ml),AXL (pg/ml),0.27313,0.18818808,0.045489997,0.25603,4.5849624,0.29144797
sHER2/sEGFR2/sErbB2 (pg/ml),AXL (pg/ml),0.27308,0.2610505,0.036270007,0.25646,4.5849624,0.10967909
Prolactin (pg/ml),Leptin (pg/ml),0.27291,0.26861277,0.09628999,0.25249,4.5849624,-0.065553136
TIMP-1 (pg/ml),Angiopoietin-2 (pg/ml),0.27289,0.2461425,0.08959,0.25406,4.5849624,0.1635466
G-CSF (pg/ml),Angiopoietin-2 (pg/ml),0.27247,0.19216436,0.09594999,0.2549,4.5849624,0.28338248
sFas (pg/ml),HGF (pg/ml),0.27198,0.2679937,0.032350004,0.26492,4.5849624,0.06313718
PAR (pg/ml),HE4 (pg/ml),0.2719,0.26027125,0.087060004,0.23879,4.5849624,0.10783671
sPECAM-1 (pg/ml),CA-125 (U/ml),0.27172,0.25836298,0.07338999,0.26246,4.5849624,0.11557255
OPG (ng/ml),CA19-9 (U/ml),0.27142,0.27098536,0.040700004,0.26105,4.5849624,-0.020847883
NSE (ng/ml),CA19-9 (U/ml),0.26955,0.26919386,0.05598001,0.26004,4.5849624,0.018871259
sHER2/sEGFR2/sErbB2 (pg/ml),OPG (ng/ml),0.26892,0.26696652,0.04914999,0.25583,4.5849624,0.04419806
sHER2/sEGFR2/sErbB2 (pg/ml),FGF2 (pg/ml),0.26802,0.23917393,0.07789001,0.25082,4.5849624,0.16984132
sPECAM-1 (pg/ml),CYFRA 21-1 (pg/ml),0.26643,0.24988973,0.10104,0.25667,4.5849624,0.12860891
Thrombospondin-2 (pg/ml),sEGFR (pg/ml),0.26499,0.2636558,0.09219001,0.25632,4.5849624,0.036526438
Kallikrein-6 (pg/ml),CD44 (ng/ml),0.26479,0.08919446,0.031870008,0.24953,4.5849624,0.41904122
sEGFR (pg/ml),PAR (pg/ml),0.26476,0.14958256,0.025370002,0.24842,4.5849624,0.339378
FGF2 (pg/ml),AXL (pg/ml),0.26399,0.2203019,0.06088002,0.25031,4.5849624,-0.20901701
FGF2 (pg/ml),AFP (pg/ml),0.26375,0.2577161,0.047620013,0.25295,4.5849624,0.077678174
PAR (pg/ml),Mesothelin (ng/ml),0.26349,0.21586728,0.095369995,0.24525,4.5849624,0.2182263
Mesothelin (ng/ml),CA 15-3 (U/ml),0.26293,0.25917277,0.09724001,0.25103,4.5849624,-0.061296232
Kallikrein-6 (pg/ml),HGF (pg/ml),0.26276,0.2303437,0.0564,0.24951,4.5849624,-0.1800453
Midkine (pg/ml),DKK1 (ng/ml),0.26252,0.21837683,0.058429986,0.25132,4.5849624,0.21010272
GDF15 (ng/ml),AXL (pg/ml),0.26246,0.22725378,0.07813999,0.24693,4.5849624,0.1876332
OPN (pg/ml),DKK1 (ng/ml),0.26238,0.21934967,0.058689997,0.24826,4.5849624,0.20743756
IL-8 (pg/ml),G-CSF (pg/ml),0.26146,0.26142356,0.08161001,0.2438,4.5849624,0.0060381615
OPG (ng/ml),CD44 (ng/ml),0.26137,0.25767925,0.03192001,0.24962,4.5849624,0.060751643
sEGFR (pg/ml),NSE (ng/ml),0.26121,0.24111381,0.0247,0.24667,4.5849624,-0.14176103
Mesothelin (ng/ml),AXL (pg/ml),0.2611,0.15836652,0.023599997,0.24628,4.5849624,0.32052064
OPG (ng/ml),Follistatin (pg/ml),0.26087,0.25860876,0.10496001,0.24253,4.5849624,0.047552757
TIMP-1 (pg/ml),SHBG (nM),0.26087,0.24347696,0.06197001,0.23879,4.5849624,0.1318827
sPECAM-1 (pg/ml),sEGFR (pg/ml),0.26007,0.1849642,0.05569999,0.23926,4.5849624,0.27405438
NSE (ng/ml),AFP (pg/ml),0.25916,0.25743937,0.025330007,0.24059,4.5849624,-0.041480426
TIMP-1 (pg/ml),FGF2 (pg/ml),0.25896,0.25816488,0.048700005,0.24269,4.5849624,0.028198157
sPECAM-1 (pg/ml),FGF2 (pg/ml),0.25886,0.25842574,0.061729997,0.24096,4.5849624,-0.020838559
TGFa (pg/ml),NSE (ng/ml),0.25833,0.2556788,0.046719983,0.23957,4.5849624,-0.051489737
IL-8 (pg/ml),Galectin-3 (ng/ml),0.25802,-0.0060505867,0.02853001,0.24316,4.5849624,0.513878
TIMP-2 (pg/ml),G-CSF (pg/ml),0.2577,0.20384794,0.02685,0.23984,4.5849624,-0.23206046
TIMP-2 (pg/ml),CD44 (ng/ml),0.25749,0.15178494,0.046430007,0.24121,4.5849624,0.32512316
sHER2/sEGFR2/sErbB2 (pg/ml),sFas (pg/ml),0.25651,0.25373235,0.063669994,0.23652,4.5849624,0.052703395
TIMP-1 (pg/ml),NSE (ng/ml),0.25627,0.17390034,0.06167999,0.23711,4.5849624,0.28700113
Thrombospondin-2 (pg/ml),Endoglin (pg/ml),0.25575,0.17862985,0.047440007,0.23727,4.5849624,0.27770516
IL-6 (pg/ml),CA 15-3 (U/ml),0.2555,0.255264,0.080319986,0.24215,4.5849624,-0.015361189
NSE (ng/ml),CA-125 (U/ml),0.25544,0.24462797,0.07135999,0.24475,4.5849624,0.103980914
TIMP-1 (pg/ml),OPN (pg/ml),0.25541,0.18106139,0.088489994,0.24187,4.5849624,0.2726694
Myeloperoxidase (ng/ml),Kallikrein-6 (pg/ml),0.25525,0.2428014,0.051259995,0.24358,4.5849624,-0.11157334
sEGFR (pg/ml),CD44 (ng/ml),0.25516,0.056672826,0.047780007,0.23941,4.5849624,0.445519
PAR (pg/ml),G-CSF (pg/ml),0.25509,0.24915124,0.025260001,0.24128,4.5849624,0.07706331
DKK1 (ng/ml),AXL (pg/ml),0.25494,0.25420108,0.09827,0.24185,4.5849624,-0.027183145
DKK1 (ng/ml),CYFRA 21-1 (pg/ml),0.25492,0.20187423,0.125,0.23247,4.5849624,0.2303167
sEGFR (pg/ml),FGF2 (pg/ml),0.25448,0.13006717,0.034730002,0.23825,4.5849624,-0.35272205
Mesothelin (ng/ml),GDF15 (ng/ml),0.25435,0.24938169,0.08542001,0.23038,4.5849624,0.07048625
TGFa (pg/ml),Mesothelin (ng/ml),0.25425,0.24571279,0.11306,0.24132,4.5849624,-0.09239698
GDF15 (ng/ml),CD44 (ng/ml),0.25377,0.23029754,0.069639996,0.23684,4.5849624,0.15320726
Kallikrein-6 (pg/ml),CYFRA 21-1 (pg/ml),0.25334,0.25296667,0.10312,0.24564,4.5849624,-0.019321911
